yyyy/mmdd(or -ddd)/hh.h):2000/ 101/12.0LT  geog Lat/Long/Alt=-25.0/ 125.0/ 300.0

IRIcor2 is used for topside Ne profile
URSI maps are used for the F2 peak density (NmF2)
foF2 STORM model is turned on 
Shubin2015model is used for F2 peak height (hmF2)
ABT-2009 option is used for the bottomside thickness parameter B0
Scotto-97 no L   option is used for the F1 occurrence probability
foE auroral storm model is turned off
IRI-1990   option is used for D-region
TBT-2012 with solar dependence is used for the electron temperature
Tru-2021 option is used for the ion temperature
RBV10+TBT15 option is used for ion composition
CGM coordinates not computed
auroral boundaries not computed

Peak Densities/cm-3: NmF2=1103864.4   NmF1= 382225.0   NmE= 198433.7
Peak Heights/km:     hmF2=   321.64   hmF1=   194.04   hmE=   110.00

Solar Zenith Angle/degree                               2.2
Dip (Magnetic Inclination)/degree                     -58.20
Modip (Modified Dip)/degree                           -46.86
Solar Sunspot Number (12-months running mean) Rz12    112.1           
Ionospheric-Effective Solar Index IG12                126.4           
Solar radio flux F10.7 (daily)                        125.6           
Solar radio flux F10.7 (81-day average)               158.6           

TEC [1.E16 m-2] is obtained by numerical integration in 1km steps
  from 50 to 2000.0 km. t is the percentage of TEC above the F peak.

-
   H   ELECTRON DENSITY   TEMPERATURES      ION PERCENTAGES[%]*10    1E16m-2
   km  Ne/cm-3 Ne/NmF2 Tn/K  Ti/K  Te/K  O+  N+  H+ He+ O2+ NO+ Clust TEC t/%
 370.0  837253  0.758  1198  1202  2295 981  19   0   0   0   0  -1  38.7  69
 375.0  821340  0.744  1199  1205  2293 980  19   0   0   0   0  -1  38.7  69
 380.0  804475  0.729  1199  1207  2291 980  20   0   0   0   0  -1  38.7  69
 385.0  786769  0.713  1199  1210  2288 980  20   0   0   0   0  -1  38.7  69
 390.0  768336  0.696  1199  1212  2286 979  20   0   0   0   0  -1  38.7  69
 395.0  749294  0.679  1199  1215  2284 979  20   0   0   0   0  -1  38.7  69
 400.0  729756  0.661  1200  1218  2281 979  21   1   0   0   0  -1  38.7  69
 405.0  709833  0.643  1200  1220  2279 978  21   1   0   0   0  -1  38.7  69
 410.0  689634  0.625  1200  1223  2276 978  21   1   0   0   0  -1  38.7  69
 415.0  669258  0.606  1200  1226  2274 978  22   1   0   0   0  -1  38.7  69
 420.0  648806  0.588  1200  1229  2272 977  22   1   0   0   0  -1  38.7  69
 425.0  628368  0.569  1200  1233  2269 977  22   1   0   0   0  -1  38.7  69
 430.0  608025  0.551  1200  1239  2267 977  22   1   0   0   0  -1  38.7  69
 435.0  587857  0.533  1200  1247  2265 976  23   1   0   0   0  -1  38.7  69
 440.0  567930  0.514  1200  1256  2262 976  23   1   0   0   0  -1  38.7  69
 445.0  548307  0.497  1200  1267  2260 976  23   1   0   0   0  -1  38.7  69
 450.0  529043  0.479  1201  1278  2257 975  24   1   0   0   0  -1  38.7  69
 455.0  510185  0.462  1201  1289  2255 975  24   1   0   0   0  -1  38.7  69
 460.0  491773  0.446  1201  1300  2253 974  24   1   0   0   0  -1  38.7  69
 465.0  473839  0.429  1201  1312  2250 974  25   1   0   0   0  -1  38.7  69
 470.0  456412  0.413  1201  1323  2248 973  25   1   0   0   0  -1  38.7  69
 475.0  439515  0.398  1201  1334  2246 973  26   1   0   0   0  -1  38.7  69
 480.0  423163  0.383  1201  1345  2243 973  26   1   0   0   0  -1  38.7  69
 485.0  407367  0.369  1201  1357  2241 972  26   1   0   0   0  -1  38.7  69
 490.0  392138  0.355  1201  1368  2239 972  27   1   0   0   0  -1  38.7  69
 495.0  377474  0.342  1201  1379  2236 971  27   2   0   0   0  -1  38.7  69
 500.0  363380  0.329  1201  1391  2234 971  27   2   0   0   0  -1  38.7  69
 505.0  349852  0.317  1201  1402  2232 970  28   2   0   0   0  -1  38.7  69
 510.0  336884  0.305  1201  1413  2230 970  28   2   0   0   0  -1  38.7  69
 515.0  324469  0.294  1201  1424  2228 969  28   2   0   0   0  -1  38.7  69
 520.0  312599  0.283  1201  1436  2227 969  29   2   0   0   0  -1  38.7  69
 525.0  301260  0.273  1201  1447  2226 968  29   2   0   0   0  -1  38.7  69
