yyyy/mmdd(or -ddd)/hh.h):2000/ 101/ 0.0LT  geog Lat/Long/Alt=-25.0/ 125.0/ 300.0

NeQuick is used for topside Ne profile
URSI maps are used for the F2 peak density (NmF2)
foF2 STORM model is turned on 
Shubin2015model is used for F2 peak height (hmF2)
ABT-2009 option is used for the bottomside thickness parameter B0
Scotto-97 no L   option is used for the F1 occurrence probability
foE auroral storm model is turned off
IRI-1990   option is used for D-region
TBT-2012 with solar dependence is used for the electron temperature
RBV10+TBT15 option is used for ion composition
CGM coordinates not computed
auroral boundaries not computed

Peak Densities/cm-3: NmF2= 647027.2   NmF1=      0.0   NmE=   3591.0
Peak Heights/km:     hmF2=   339.66   hmF1=     0.00   hmE=   110.00

Solar Zenith Angle/degree                             132.0
Dip (Magnetic Inclination)/degree                     -58.20
Modip (Modified Dip)/degree                           -46.86
Solar Sunspot Number (12-months running mean) Rz12    112.1           
Ionospheric-Effective Solar Index IG12                126.4           
Solar radio flux F10.7 (daily)                        125.6           
Solar radio flux F10.7 (81-day average)               158.6           

TEC [1.E16 m-2] is obtained by numerical integration in 1km steps
  from 50 to 2000.0 km. t is the percentage of TEC above the F peak.

-
   H   ELECTRON DENSITY   TEMPERATURES      ION PERCENTAGES[%]*10    1E16m-2
   km  Ne/cm-3 Ne/NmF2 Tn/K  Ti/K  Te/K  O+  N+  H+ He+ O2+ NO+ Clust TEC t/%
 410.0  512927  0.793   992   992  1294 975  21   4   0   0   0  -1  17.7  76
 415.0  498570  0.771   992   992  1288 974  22   4   0   0   0  -1  17.7  76
 420.0  484179  0.748   992   992  1282 973  22   4   0   0   0  -1  17.7  76
 425.0  469824  0.726   992   992  1276 972  23   4   0   0   0  -1  17.7  76
 430.0  455569  0.704   992   992  1270 972  23   4   0   0   0  -1  17.7  76
 435.0  441467  0.682   992   992  1265 971  24   5   0   0   0  -1  17.7  76
 440.0  427565  0.661   992   992  1259 970  25   5   0   0   0  -1  17.7  76
 445.0  413901  0.640   992   993  1253 969  25   5   1   0   0  -1  17.7  76
 450.0  400508  0.619   992   993  1247 968  26   6   1   0   0  -1  17.7  76
 455.0  387411  0.599   992   994  1241 967  26   6   1   0   0  -1  17.7  76
 460.0  374632  0.579   992   994  1235 966  27   6   1   0   0  -1  17.7  76
 465.0  362186  0.560   992   995  1229 965  28   7   1   0   0  -1  17.7  76
 470.0  350085  0.541   992   995  1224 964  28   7   1   0   0  -1  17.7  76
 475.0  338338  0.523   992   996  1218 963  29   8   1   0   0  -1  17.7  76
 480.0  326950  0.505   992   996  1212 961  30   8   1   0   0  -1  17.7  76
 485.0  315922  0.488   992   997  1206 960  30   9   1   0   0  -1  17.7  76
 490.0  305254  0.472   992   997  1200 959  31   9   1   0   0  -1  17.7  76
 495.0  294945  0.456   992   997  1194 958  32  10   1   0   0  -1  17.7  76
 500.0  284991  0.440   992   998  1189 956  33  10   1   0   0  -1  17.7  76
 505.0  275386  0.426   992   998  1183 955  33  11   1   0   0  -1  17.7  76
 510.0  266125  0.411   992   999  1177 953  34  12   1   0   0  -1  17.7  76
 515.0  257199  0.398   992   999  1172 952  35  12   1   0   0  -1  17.7  76
 520.0  248601  0.384   992   999  1167 950  36  13   1   0   0  -1  17.7  76
 525.0  240322  0.371   992  1000  1162 949  36  14   1   0   0  -1  17.7  76
 530.0  232353  0.359   992  1000  1158 947  37  15   1   0   0  -1  17.7  76
 535.0  224685  0.347   992  1001  1155 946  38  15   1   0   0  -1  17.7  76
 540.0  217309  0.336   992  1001  1153 944  39  16   1   0   0  -1  17.7  76
 545.0  210214  0.325   992  1001  1153 942  39  17   1   0   0  -1  17.7  76
 550.0  203390  0.314   992  1002  1155 941  40  18   1   0   0  -1  17.7  76
 555.0  196830  0.304   992  1002  1160 939  41  19   1   0   0  -1  17.7  76
 560.0  190521  0.294   992  1003  1166 938  41  20   1   0   0  -1  17.7  76
 565.0  184457  0.285   992  1003  1175 936  42  21   1   0   0  -1  17.7  76
 570.0  178626  0.276   992  1003  1185 934  42  22   2   0   0  -1  17.7  76
 575.0  173020  0.267   992  1004  1196 933  43  23   2   0   0  -1  17.7  76
 580.0  167631  0.259   992  1004  1207 931  44  24   2   0   0  -1  17.7  76
 585.0  162449  0.251   992  1005  1219 929  44  25   2   0   0  -1  17.7  76
 590.0  157466  0.243   992  1005  1231 928  45  26   2   0   0  -1  17.7  76
 595.0  152674  0.236   992  1005  1243 926  45  27   2   0   0  -1  17.7  76
 600.0  148066  0.229   992  1006  1256 924  46  28   2   0   0  -1  17.7  76
 605.0  143633  0.222   992  1006  1268 923  46  29   2   0   0  -1  17.7  76
 610.0  139369  0.215   992  1007  1281 921  47  30   2   0   0  -1  17.7  76
 615.0  135267  0.209   992  1007  1293 919  47  31   2   0   0  -1  17.7  76
 620.0  131319  0.203   992  1007  1306 917  48  33   2   0   0  -1  17.7  76
 625.0  127519  0.197   992  1008  1319 916  48  34   2   0   0  -1  17.7  76
 630.0  123862  0.191   992  1008  1331 914  49  35   2   0   0  -1  17.7  76
 635.0  120340  0.186   992  1009  1344 912  49  37   2   0   0  -1  17.7  76
 640.0  116949  0.181   992  1009  1356 910  50  38   3   0   0  -1  17.7  76
 645.0  113683  0.176   992  1010  1369 908  50  39   3   0   0  -1  17.7  76
 650.0  110537  0.171   992  1010  1382 905  51  41   3   0   0  -1  17.7  76
 655.0  107505  0.166   992  1010  1394 903  51  43   3   0   0  -1  17.7  76
 660.0  104584  0.162   992  1011  1407 901  52  44   3   0   0  -1  17.7  76
 665.0  101767  0.157   992  1011  1419 899  53  46   3   0   0  -1  17.7  76
 670.0   99051  0.153   992  1012  1432 896  53  48   3   0   0  -1  17.7  76
 675.0   96432  0.149   992  1012  1444 894  54  50   3   0   0  -1  17.7  76
 680.0   93906  0.145   992  1012  1457 891  54  51   3   0   0  -1  17.7  76
 685.0   91468  0.141   992  1013  1470 889  55  53   3   0   0  -1  17.7  76
 690.0   89116  0.138   992  1013  1482 886  55  56   4   0   0  -1  17.7  76
 695.0   86845  0.134   992  1014  1495 883  56  58   4   0   0  -1  17.7  76
 700.0   84653  0.131   992  1014  1507 880  56  60   4   0   0  -1  17.7  76
 705.0   82535  0.128   992  1014  1520 877  57  62   4   0   0  -1  17.7  76
 710.0   80490  0.124   992  1015  1533 874  57  65   4   0   0  -1  17.7  76
 715.0   78514  0.121   992  1015  1545 870  58  67   4   0   0  -1  17.7  76
 720.0   76604  0.118   992  1016  1558 867  59  70   4   0   0  -1  17.7  76
 725.0   74758  0.116   992  1016  1570 863  59  73   4   0   0  -1  17.7  76
 730.0   72973  0.113   992  1016  1583 859  60  76   5   0   0  -1  17.7  76
 735.0   71246  0.110   992  1017  1595 855  60  80   5   0   0  -1  17.7  76
 740.0   69576  0.108   992  1017  1608 851  61  83   5   0   0  -1  17.7  76
 745.0   67961  0.105   992  1018  1620 846  62  87   5   0   0  -1  17.7  76
